X,EWE,COMNAME,SCINAME,SVSPP,EMAX,MIN,MAX
136,Medium pelagics - other,POMPANO DOLPHIN,CORYPHAENA EQUISETIS,583,NA,0,1000
137,Medium pelagics - other,DOLPHIN,CORYPHAENA HIPPURUS,584,NA,0,1000
138,Medium pelagics - other,ATLANTIC POMFRET,BRAMA BRAMA,585,NA,0,1000
139,Medium pelagics - other,BULLET MACKEREL,AUXIS ROCHEI,701,NA,0,1000
140,Medium pelagics - other,FRIGATE MACKEREL,AUXIS THAZARD,702,NA,0,1000
141,Medium pelagics - other,KING MACKEREL,SCOMBEROMORUS CAVALLA,744,NA,0,1000
142,Medium pelagics - other,SPANISH MACKEREL,SCOMBEROMORUS MACULATUS,745,NA,0,1000
143,Medium pelagics - other,CERO,SCOMBEROMORUS REGALIS,746,NA,0,1000
144,Medium pelagics - other,MACKEREL AND TUNA UNCL,SCOMBRIDAE,860,SC,0,1000
145,Medium pelagics - other,LESSER AMBERJACK,SERIOLA FASCIATA,877,SC,0,1000
146,Mesopelagics,GREENEYE UNCL,CHLOROPHTHALMIDAE,47,NA,0,1000
147,Mesopelagics,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE,51,NA,0,1000
148,Mesopelagics,MADEIRA LANTERNFISH,LAMPANYCTUS SP,52,NA,0,1000
149,Mesopelagics,HUMBOLDTS LANTERNFISH,MYCTOPHUM HUMBOLDTI,53,NA,0,1000
150,Mesopelagics,HORNED LANTERNFISH,CERATOSCOPELUS MADERENSIS,54,NA,0,1000
151,Mesopelagics,SPOTTED LANTERNFISH,MYCTOPHUM PUNCTATUM,55,NA,0,1000
152,Mesopelagics,LANTERNFISH UNCL,MYCTOPHIDAE,56,NA,0,1000
153,Mesopelagics,PATCHWORK LAMPFISH,NOTOSCOPELUS RESPLENDENS,58,NA,0,1000
154,Mesopelagics,NA,GONICHTHYS COCCOI,59,NA,0,1000
155,Mesopelagics,GRENADIER UNCL,MACROURIDAE,90,BG,0,1000
156,Mesopelagics,MARLIN-SPIKE,NEZUMIA BAIRDI,91,BG,0,1000
157,Mesopelagics,ROUGHHEAD GRENADIER,MACROURUS BERGLAX,92,BG,0,1000
158,Mesopelagics,LONGNOSE GRENADIER,COELORHYNCHUS CARMINATUS,93,BG,0,1000
159,Mesopelagics,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX,111,BC,0,1000
160,Mesopelagics,BLACKMOUTH BASS,SYNAGROPS BELLUS,114,BC,0,1000
161,Mesopelagics,ATLANTIC CUTLASSFISH,TRICHIURUS LEPTURUS,126,PO,0,1000
162,Mesopelagics,KEELCHEEK BASS,SYNAGROPS SPINOSUS,137,BC,0,1000
163,Mesopelagics,NA,EPIGONUS PANDIONIS,144,BC,0,1000
164,Mesopelagics,SHERBORN'S CARDINALFISH,HOWELLA SHERBORNI,150,BC,0,1000
165,Mesopelagics,LONGSPINE SCORPIONFISH,PONTINUS LONGISPINIS,154,BS,0,1000
166,Mesopelagics,DEEPBODY BOARFISH,ANTIGONIA CAPROS,158,BO,0,1000
167,Mesopelagics,BLACK GEMFISH,NESIARCHUS NASUTUS,227,BC,0,1000
168,Mesopelagics,BOA DRAGONFISH,STOMIAS BOA,228,NA,0,1000
169,Mesopelagics,WEITZMANS PEARLSIDES,MAUROLICUS WEITZMANI,229,NA,0,1000
170,Mesopelagics,NA,CHLOROPHTHALMUS SP,231,BO,0,1000
171,Mesopelagics,SHORTNOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI,232,BO,0,1000
172,Mesopelagics,NA,GONOSTOMA BATHYPHILUM,233,BO,0,1000
173,Mesopelagics,NA,GONOSTOMA ATLANTICUM,234,BO,0,1000
174,Mesopelagics,LONGTOOTH ANGLEMOUTH,GONOSTOMA ELONGATUM,235,BO,0,1000
175,Mesopelagics,NA,VINCIGUERRIA SP,236,BO,0,1000
176,Mesopelagics,NA,POLYMETME THAEOCORYLA,237,BO,0,1000
177,Mesopelagics,SIMONYS FROSTFISH,BENTHODESMUS SIMONYI,239,NA,0,1000
178,Mesopelagics,VIPERFISH,CHAULIODUS SLOANI,240,NA,0,1000
179,Mesopelagics,NA,CHAULIODUS DANAE,241,BO,0,1000
180,Mesopelagics,LONGNOSE GREENEYE,PARASUDIS TRUCULENTA,242,BO,0,1000
181,Mesopelagics,BLUNTNOSE SMOOTHHEAD,XENODERMICHTHYS COPEI,243,BO,0,1000
182,Mesopelagics,SLENDER LIGHTFISH,VINCIGUERRIA ATTENUATA,244,NA,0,1000
183,Mesopelagics,NA,PARALEPIS COREGONOIDES,245,NA,0,1000
184,Mesopelagics,WHITE BARRACUDINA,ARCTOZENUS RISSOI,246,NA,0,1000
185,Mesopelagics,SCALY DRAGONFISH UNCL,STOMIIDAE,248,NA,0,1000
186,Mesopelagics,LUMPFISH SNAILFISH UNCL,CYCLOPTERIDAE,249,NA,0,1000
187,Mesopelagics,SILVER HATCHETFISH,ARGYROPELECUS ACULEATUS,250,NA,0,1000
188,Mesopelagics,NA,POLYIPNUS CLARUS,251,NA,0,1000
189,Mesopelagics,HATCHETFISH UNCL,STERNOPTYCHIDAE,252,NA,0,1000
190,Mesopelagics,NA,CAREPROCTUS RANULA,260,BS,0,1000
191,Mesopelagics,BLACKMOUTHED ALFONSIN,HOPLOSTETHUS MEDITERRANEUS,261,NA,0,1000
192,Mesopelagics,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM,262,NA,0,1000
193,Mesopelagics,BEARDFISH,POLYMIXIA LOWEI,263,BO,0,1000
194,Mesopelagics,STOUT BEARDFISH,POLYMIXIA NOBILIS,264,BO,0,1000
195,Mesopelagics,OCEAN SUNFISH,MOLA MOLA,265,NA,0,1000
196,Mesopelagics,NA,HOPLOSTETHUS OCCIDENTALIS,266,BO,0,1000
197,Mesopelagics,EELPOUT UNCL,ZOARCIDAE,267,NA,0,1000
198,Mesopelagics,BIG ROUGHY,GEPHYROBERYX DARWINI,268,BO,0,1000
199,Mesopelagics,WESTERN SOFTHEAD GRENADIER,MALACOCEPHALUS OCCIDENTALIS,280,BG,0,1000
200,Skates,SKATE UNCL,RAJA SP,20,NA,0,1000
201,Skates,BARNDOOR SKATE,DIPTURUS LAEVIS,22,OE,0,1000
202,Skates,WINTER SKATE,LEUCORAJA OCELLATA,23,OE,0,1000
203,Skates,CLEARNOSE SKATE,RAJA EGLANTERIA,24,BE,0,1000
204,Skates,ROSETTE SKATE,LEUCORAJA GARMANI,25,BE,0,1000
205,Skates,LITTLE SKATE,LEUCORAJA ERINACEA,26,OE,0,1000
206,Skates,SMOOTH SKATE,MALACORAJA SENTA,27,BE,0,1000
207,Skates,THORNY SKATE,AMBLYRAJA RADIATA,28,OE,0,1000
208,Skates,OCELLATE SKATE,RAJA ACKLEYI,368,SE,0,1000
209,Skates,SPREADFIN SKATE,DIPTURUS OLSENI,370,SE,0,1000
210,Skates,SPINYTAIL SKATE,BATHYRAJA SPINICAUDA,371,SE,0,1000
211,Skates,ROUNDEL SKATE,RAJA TEXANA,372,SE,0,1000
212,Skates,LONGTAIL SKATE,BREVIRAJA PLUTONIA,924,SE,0,1000
213,Small pelagic - other,ROUND HERRING,ETRUMEUS TERES,31,NA,0,1000
214,Small pelagic - other,HICKORY SHAD,ALOSA MEDIOCRIS,37,NA,0,1000
215,Small pelagic - other,SLICKHEAD UNCL,ALEPOCEPHALIIDAE,39,NA,0,1000
216,Small pelagic - other,RAINBOW SMELT,OSMERUS MORDAX,45,NA,0,1000
217,Small pelagic - other,ATLANTIC ARGENTINE,ARGENTINA SILUS,46,NA,0,1000
218,Small pelagic - other,SILVERSTRIPE HALFBEAK,HYPORHAMPHUS UNIFASCIATUS,66,NA,0,1000
219,Small pelagic - other,FLAT NEEDLEFISH,ABLENNES HIANS,68,NA,0,1000
220,Small pelagic - other,ATLANTIC SILVERSIDE,MENIDIA MENIDIA,113,NA,0,1000
221,Small pelagic - other,BIGSCALE POMFRET,TARATICHTHYS LONGIPINNIS,130,NA,0,1000
222,Small pelagic - other,ATLANTIC MOONFISH,SELENE SETAPINNIS,132,NA,0,1000
223,Small pelagic - other,LOOKDOWN,SELENE VOMER,133,NA,0,1000
224,Small pelagic - other,BIGEYE,PRIACANTHUS ARENATUS,134,NA,0,1000
225,Small pelagic - other,CARDINALFISH UNCL,APOGONIDAE,138,NA,0,1000
226,Small pelagic - other,FLYING GURNARD,DACTYLOPTERUS VOLITANS,175,NA,0,1000
227,Small pelagic - other,NORTHERN SAND LANCE,AMMODYTES DUBIUS,181,NA,0,1000
228,Small pelagic - other,ATLANTIC SAURY,SCOMBERESOX SAURUS,205,NA,0,1000
229,Small pelagic - other,MACKEREL SCAD,DECAPTERUS MACARELLUS,208,NA,0,1000
230,Small pelagic - other,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS,209,NA,0,1000
231,Small pelagic - other,HEADLIGHTFISH,DIAPHUS DUMERILI,210,NA,0,1000
232,Small pelagic - other,ROUND SCAD,DECAPTERUS PUNCTATUS,211,NA,0,1000
233,Small pelagic - other,ROUGH SCAD,TRACHURUS LATHAMI,212,NA,0,1000
234,Small pelagic - other,SILVERSIDE UNCL,ATHERINIDAE,423,NA,0,1000
235,Small pelagic - other,DWARF HERRING,JENKINSIA LAMPROTAENIA,427,NA,0,1000
236,Small pelagic - other,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM,428,NA,0,1000
237,Small pelagic - other,SPANISH SARDINE,SARDINELLA AURITA,429,NA,0,1000
238,Small pelagic - other,FLAT ANCHOVY,ANCHOVIELLA PERFASCIATA,430,NA,0,1000
239,Small pelagic - other,ROUGH SILVERSIDE,MEMBRAS MARTINICA,475,NA,0,1000
240,Small pelagic - other,TIDEWATER SILVERSIDE,MENIDIA BERYLLINA,476,NA,0,1000
241,Small pelagic - other,AMERICAN SAND LANCE,AMMODYTES AMERICANUS,734,SC,0,1000
242,Small pelagic - other,ANCHOVY UNCL,ENGRAULIDAE,851,SO,0,1000
243,Small pelagic - other,STRIATED ARGENTINE,ARGENTINA STRIATA,856,SO,0,1000
244,Small pelagic - other,DUSKY ANCHOVY,ANCHOA LYOLEPIS,859,SO,0,1000
245,Small pelagic - other,SILVER ANCHOVY,ENGRAULIS EURYSTOLE,865,NA,0,1000
246,Small pelagic - other,SCALED SARDINE,HARENGULA JAGUANA,875,SO,0,1000
247,Small pelagic - other,CUBAN ANCHOVY,ANCHOA CUBANA,889,NA,0,1000
248,Small pelagic - other,LONGNOSE ANCHOVY,ANCHOA NASUTA,890,NA,0,1000
249,Small pelagic - other,PYGMY ARGENTINE,GLOSSANODON PYGMAEUS,892,NA,0,1000
250,Squid,"SQUID, CUTTLEFISH, AND OCTOPOD UNCL",CEPHALOPODA,501,NA,0,1000
251,Squid,NORTHERN SHORTFIN SQUID,ILLEX ILLECEBROSUS,502,NA,0,1000
252,Squid,LONGFIN SQUID,LOLIGO PEALEII,503,NA,0,1000
253,Squid,ATLANTIC BRIEF SQUID,LOLLIGUNCULA BREVIS,504,NA,0,1000
254,Squid,ARROW SQUID,LOLIGO PLEII,505,NA,0,1000
255,Squid,BOBTAIL UNCL,SEPIOLIDAE,506,NA,0,1000
256,Squid,LESSER SHINING BOBTAIL,SEMIROSSIA TENERA,507,NA,0,1000
257,Squid,SHIELD BOBTAIL,STOLOTEUTHIS LEUCOPTERA,508,NA,0,1000
258,Squid,RUPPELL'S ABRALIA,ABRALIA VERANYI,509,NA,0,1000
259,Squid,OCTOPUS UNCL,OCTOPODA,510,NA,0,1000
260,Squid,COMMON OCTOPUS,OCTOPUS VULGARIS,511,NA,0,1000
261,Squid,SPOONARM OCTOPUS,BATHYPOLYPUS ARCTICUS,512,NA,0,1000
262,Squid,UNICORN OCTOPUS,SCAEURGUS UNICIRRHUS,513,NA,0,1000
263,Squid,VERRILL'S BOBTAIL,ROSSIA MEGAPTERA,514,NA,0,1000
264,Squid,OWEN'S BOBTAIL,ROSSIA PALPEBROSA,515,NA,0,1000
265,Spiny dogfish (S),SPINY DOGFISH,SQUALUS ACANTHIAS,15,PE,0,60
266,Spiny dogfish (L),SPINY DOGFISH,SQUALUS ACANTHIAS,15,PE,61,1000
267,Atlantic menhaden (S),ATLANTIC MENHADEN,BREVOORTIA TYRANNUS,36,NA,0,14
268,Atlantic menhaden (M),ATLANTIC MENHADEN,BREVOORTIA TYRANNUS,36,NA,15,24
269,Atlantic menhaden (L),ATLANTIC MENHADEN,BREVOORTIA TYRANNUS,36,NA,25,1000
270,Hakes (S),OFFSHORE HAKE,MERLUCCIUS ALBIDUS,69,PG,0,40
271,Hakes (S),SILVER HAKE,MERLUCCIUS BILNEARIS,72,PG,0,40
272,Hakes (S),WHITE HAKE,UROPHYCIS TENUIS,76,PG,0,40
273,Hakes (S),RED HAKE,UROPHYCIS CHUSS,77,BG,0,40
274,Hakes (S),SPOTTED HAKE,UROPHYCIS REGIA,78,BG,0,40
275,Hakes (L),OFFSHORE HAKE,MERLUCCIUS ALBIDUS,69,PG,41,1000
276,Hakes (L),SILVER HAKE,MERLUCCIUS BILNEARIS,72,PG,41,1000
277,Hakes (L),WHITE HAKE,UROPHYCIS TENUIS,76,PG,41,1000
278,Hakes (L),RED HAKE,UROPHYCIS CHUSS,77,BG,41,1000
279,Hakes (L),SPOTTED HAKE,UROPHYCIS REGIA,78,BG,41,1000
280,Atlantic cod (S),ATLANTIC COD,GADUS MORHUA,73,PG,0,20
281,Atlantic cod (M),ATLANTIC COD,GADUS MORHUA,73,PG,21,50
282,Atlantic cod (L),ATLANTIC COD,GADUS MORHUA,73,PG,51,1000
283,Summer flounder (S),SUMMER FLOUNDER,PARALICHTHYS DENTATUS,103,PO,0,25
284,Summer flounder (L),SUMMER FLOUNDER,PARALICHTHYS DENTATUS,103,PO,26,1000
285,Yellowtail flounder (S),YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,105,BP,0,20
286,Yellowtail flounder (L),YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,105,BP,21,1000
287,Bluefish (S),BLUEFISH,POMATOMUS SALTATRIX,135,NA,0,30
288,Bluefish (M),BLUEFISH,POMATOMUS SALTATRIX,135,NA,31,60
289,Bluefish (L),BLUEFISH,POMATOMUS SALTATRIX,135,NA,61,1000
290,Striped bass (S),STRIPED BASS,MORONE SAXATILIS,139,NA,0,25
291,Striped bass (M),STRIPED BASS,MORONE SAXATILIS,139,NA,26,70
292,Striped bass (L),STRIPED BASS,MORONE SAXATILIS,139,NA,71,1000
293,Weakfish (S),WEAKFISH,CYNOSCION REGALIS,145,NA,0,20
294,Weakfish (M),WEAKFISH,CYNOSCION REGALIS,145,NA,21,40
295,Weakfish (L),WEAKFISH,CYNOSCION REGALIS,145,NA,41,1000
