SPECIES_ITIS,NESPP3,COMMON_NAME,SCIENTIFIC_NAME
164744,148,HADDOCK,MELANOGRAMMUS AEGLEFINUS
169058,149,TOMTATE,HAEMULON AUROLINEATUM
159753,150,HAGFISH,MYXINIDAE
164730,152,"HAKE,ATLANTIC,RED",UROPHYCIS CHUSS
164732,153,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
164732,154,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
164729,155,"HAKE,ATLANTIC,RED & WHITE",UROPHYCIS
172930,158,"HALIBUT,GREENLAND",REINHARDTIUS HIPPOGLOSSOIDES
172933,159,"HALIBUT,ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS
553172,164,HALFBEAKS,HEMIRAMPHIDAE
172564,165,HARVESTFISHES,PEPRILUS 
172570,165,HARVESTFISH,PEPRILUS ALEPIDOTUS
161743,166,"HERRING,ROUND",ETRUMEUS TERES
161700,167,"HERRINGS,UNC",CLUPEIDAE
161722,168,"HERRING,ATLANTIC,SEA",CLUPEA HARENGUS
161755,169,"SARDINE,SCALED",HARENGULA JAGUANA
161701,170,"HERRING,RIVER",ALOSA
162057,171,HERRING SMELT,ARGENTINIDAE
161763,172,"SARDINE,SPANISH",SARDINELLA AURITA
161704,173,"SHAD,HICKORY",ALOSA MEDIOCRIS
161748,174,"HERRING,ATLANTIC THREAD",OPISTHONEMA OGLINUM
170566,179,HOGFISH,LACHNOLAIMUS MAXIMUS
168689,181,"AMBERJACK,GREATER",SERIOLA DUMERILI
168690,182,"AMBERJACK,LESSER",SERIOLA FASCIATA
166283,188,JOHN DORY,ZENOPSIS OCELLATA
166271,189,"DORY,NK",ZEIFORMES
172435,194,"MACKEREL,KING",SCOMBEROMORUS CAVALLA
169276,196,"KINGFISH,NORTHERN",MENTICIRRHUS SAXATILIS
169273,197,KING WHITING,MENTICIRRHUS
171671,206,LAUNCES,AMMODYTES
171673,206,"LANCE,AMERICAN SAND",AMMODYTES AMERICANUS
167612,210,LUMPFISH,CYCLOPTERUS LUMPUS
172414,212,"MACKEREL,ATLANTIC",SCOMBER SCOMBRUS
168612,213,BLUE RUNNER,CARANX CRYSOS
168615,214,"JACK,BAR",CARANGOIDES RUBER
172413,215,"MACKEREL,CHUB",SCOMBER COLIAS
172499,216,"MARLIN,WHITE",TETRAPTURUS ALBIDUS
172491,217,"MARLIN,BLUE",MAKAIRA NIGRICANS
172486,218,"MARLIN,UNC",ISTIOPHORIDAE
172488,219,SAILFISH,ISTIOPHORUS PLATYPTERUS
161731,221,MENHADEN,BREVOORTIA
163342,223,MINNOWS,CYPRINIDAE 
170333,234,MULLETS,MUGILIDAE
170335,235,"MULLET,STRIPED",MUGIL CEPHALUS
169406,236,"MULLET,RED (GOATFISH)",MULLIDAE
165647,237,MUMMICHOG,FUNDULUS HETEROCLITUS
166774,240,"REDFISH,ACADIAN",SEBASTES FASCIATUS
166787,242,BLACK BELLIED ROSEFISH,HELICOLENUS DACTYLOPTERUS
166781,243,"REDFISH,GOLDEN",SEBASTES NORVEGICUS
166326,249,OPAH,LAMPRIS GUTTATUS
630979,250,OCEAN POUT,ZOARCES AMERICANUS
165296,251,"POUT,ATLANTIC SOFT",MELANOSTIGMA ATLANTICUM
162212,252,"HATCHETFISHES,DEEPSEA",STERNOPTYCHIDAE
164807,253,"EELS,CUSK",OPHIDIIDAE
169077,258,PIGFISH,ORTHOPRISTIS CHRYSOPTERA
169187,267,PINFISH,LAGODON RHOMBOIDES
161111,268,LADYFISH,ELOPS SAURUS
164727,269,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
164727,270,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
170287,271,POMFRETS,BRAMIDAE
168708,272,POMPANO,TRACHINOTUS CAROLINUS
160985,285,"RAY,COWNOSE",RHINOPTERA BONASUS
160946,286,STINGRAYS,DASYATIDAE 
564407,287,"RAY,SICKLEFIN (CHILEAN) DEVIL",MOBULA TARAPACANA
160998,288,"RAY,SPINETAIL DEVIL",MOBULA JAPANICA
160806,289,"RAYS,UNC",RAJIFORMES 
161996,305,"SALMON,ATLANTIC",SALMO SALAR
161975,306,"SALMON,PACIFIC,PINK",ONCORHYNCHUS GORBUSCHA
161977,307,"SALMON,COHO,AQUACULTURE",ONCORHYNCHUS KISUTCH
161980,308,"SALMON,KING,AQUACULTURE",ONCORHYNCHUS TSHAWYTSCHA
161974,309,"SALMON,UNCLASSIFIED",ONCORHYNCHUS
167793,311,"PERCH,SAND",DIPLECTRUM FORMOSUM
165612,319,"SAURY,ATLANTIC",SCOMBERESOX SAURUS
168848,323,"SNAPPER,GRAY",LUTJANUS GRISEUS
169200,324,"PORGY,WHITEBONE",CALAMUS LEUCOSTEUS 
169197,325,"PORGY,JOLTHEAD",CALAMUS BAJONADO
167196,326,SCULPINS,COTTIDAE
167289,327,SEA RAVEN,HEMITRIPTERUS AMERICANUS
167690,328,"SEA BASS,BANK",CENTROPRISTIS OCYURUS
169182,329,SCUP,STENOTOMUS CHRYSOPS
169207,330,"PORGY,RED",PAGRUS PAGRUS
168587,331,"SCADS,ROUGH",TRACHURUS LATHAMI
169180,332,"PORGIES,UNC",SPARIDAE
167686,333,"SEA BASS,NK",CENTROPRISTIS
169238,334,"SEA TROUT,UNC",CYNOSCION SPP
167687,335,"SEA BASS,BLACK",CENTROPRISTIS STRIATA
168845,336,"SNAPPERS,UNC",LUTJANIDAE
167801,337,"BARBIER,RED",HEMANTHIAS VIVANUS
160703,339,"DOGFISH,BLACK",CENTROSCYLLIUM FABRICII
166974,340,"SEA ROBINS,NORTHERN",PRIONOTUS CAROLINUS
166972,341,SEA ROBINS,TRIGLIDAE
166975,342,"SEA ROBINS,STRIPED",PRIONOTUS EVOLANS
167010,343,"SEA ROBINS,ARMORED",PERISTEDION MINIATUM
169241,344,"SEA TROUT,GRAY(WEAKFISH)",CYNOSCION REGALIS
169239,345,"SEA TROUT,SPOTTED",CYNOSCION NEBULOSUS
160060,346,"DOGFISH,CHAIN",SCYLIORHINUS RETIFER
161702,347,"SHAD,AMERICAN",ALOSA SAPIDISSIMA
159977,348,"SHARK,NURSE",GINGLYMOSTOMA CIRRATUM
159888,349,"SHARK,SAND TIGER",CARCHARIAS TAURUS
159888,349,"SHARK,SAND TIGER",CARCHARIAS TAURUS 
160604,350,"DOGFISH,UNC",SQUALIDAE
160230,351,"DOGFISH,SMOOTH",MUSTELUS CANIS
011329,832,ROCKWEED,FUCACEAE
011222,833,SUGAR KELP,LAMINARIA SACCHARINA
083677,834,"CRUSTACEANS,UNC",CRUSTACEA
157984,835,SAND DOLLARS,CLYPEASTEROIDA
914155,899,"SHELLFISH,OTHER",PROTOSTOMIA
160617,352,"DOGFISH,SPINY",SQUALUS ACANTHIAS
159916,353,"SHARK,THRESHER",ALOPIAS VULPINUS 
159921,354,"SHARK,BIGEYE THRESHER",ALOPIAS SUPERCILIOSUS
159924,355,"SHARK,BONITO(SHORTFIN MAKO)",ISURUS OXYRINCHUS
169189,356,"SHEEPSHEAD,ATLANTIC",ARCHOSARGUS PROBATOCEPHALUS
159923,357,"SHARK,MAKO UNC",ISURUS
159926,358,"SHARK,LONGFIN MAKO",ISURUS PAUCUS
159785,359,"SHARK,UNC",CHONDRICHTHYES
159915,360,"SHARK,THRESHER UNC",ALOPIAS
162035,361,CAPELIN,MALLOTUS VILLOSUS
165994,362,"SILVERSIDE,ATLANTIC",MENIDIA MENIDIA
165984,363,SILVERSIDES,ATHERINIDAE
564136,364,"SKATE,ROSETTE",LEUCORAJA GARMANI
160845,365,SKATES,RAJIDAE
564130,366,"SKATE,LITTLE",LEUCORAJA ERINACEA
564145,367,"SKATE,WINTER",LEUCORAJA OCELLATA
564139,368,"SKATE,BARNDOOR",DIPTURUS LAEVIS
564151,369,"SKATE,SMOOTH",MALACORAJA SENTA
564149,370,"SKATE,THORNY",AMBLYRAJA RADIATA
162028,371,SMELTS,OSMERIDAE
160855,372,"SKATE,CLEARNOSE",RAJA EGLANTERIA
564037,373,"SKATES,LITTLE/WINTER MIXED",LEUCORAJA
168909,374,"SNAPPER,VERMILION",RHOMBOPLITES AURORUBENS
168857,375,"SNAPPER,DOG",LUTJANUS JOCU
168853,376,"SNAPPER,RED",LUTJANUS CAMPECHANUS
160932,377,"SKATE,SPINYTAIL",BATHYRAJA SPINICAUDA
564207,378,"SKATE,SHORTTAIL",AMBLYRAJA JENSENI
168913,379,WENCHMAN,PRISTIPOMOIDES AQUILONARIS
169537,381,SPADEFISH,EPHIPPIDAE
172436,384,"MACKEREL,SPANISH",SCOMBEROMORUS MACULATUS
172362,385,ESCOLAR,LEPIDOCYBIUM FLAVOBRUNNEUM
160515,386,"SHARK,GREAT HAMMERHEAD",SPHYRNA MOKARRAN
166680,392,"SNAKEHEAD,NORTHERN  ",CHANNA ARGUS
646756,400,"SPEARFISH,ROUNDSCALE",TETRAPTURUS GEORGII
172498,401,SPEARFISHES,TETRAPTURUS
172502,402,"SPEARFISH,LONGBILL",TETRAPTURUS PFLUEGERI
169267,406,SPOT,LEIOSTOMUS XANTHURUS
161989,415,"TROUT,RAINBOW",ONCORHYNCHUS MYKISS
167680,418,STRIPED BASS,MORONE SAXATILIS
553269,420,"STURGEON,ATLANTIC",ACIPENSER OXYRINCHUS
161064,421,"STURGEONS,UNC",ACIPENSERIDAE
161069,422,"STURGEON,SHORTNOSE",ACIPENSER BREVIROSTRUM
163892,423,SUCKERS,CATOSTOMIDAE
168093,426,SUNFISHES,CENTRARCHIDAE
173290,429,"PUFFER,NORTHERN",SPHOEROIDES MACULATUS
173289,430,"PUFFERS,(SEA CHICKEN)",SPHOEROIDES
173283,431,PUFFERS,TETRAODONTIDAE
172482,432,SWORDFISH,XIPHIAS GLADIUS
161116,435,TARPON,MEGALOPS ATLANTICUS
170479,438,TAUTOG,TAUTOGA ONITIS
168544,443,"TILEFISH,GOLDFACE",CAULOLATILUS CHRYSOPS
168543,444,"TILEFISH,BLUELINE",CAULOLATILUS MICROPS
168548,445,"TILEFISH,SAND",MALACANTHUS PLUMIERI
168546,446,TILEFISH (GOLDEN TILEFISH),LOPHOLATILUS CHAMAELEONTICEPS
168537,447,"TILEFISH,UNC",MALACANTHIDAE
164412,451,TOADFISHES,BATRACHOIDIDAE
164720,453,"TOMCOD,ATLANTIC",MICROGADUS TOMCOD
173128,456,TRIGGERFISHES,BALISTIDAE
173138,457,"TRIGGERFISH,GRAY",BALISTES CAPRISCUS
169007,459,TRIPLETAIL,LOBOTES SURINAMENSIS
172427,464,"TUNA,BLACKFIN",THUNNUS ATLANTICUS
172418,465,"TUNA,UNC",THUNNUS
172401,466,"TUNA,SKIPJACK",KATSUWONUS PELAMIS
172421,467,"TUNA,BLUEFIN",THUNNUS THYNNUS
172402,468,"TUNA,LITTLE (TUNNY)",EUTHYNNUS ALLETTERATUS
172428,469,"TUNA,BIGEYE",THUNNUS OBESUS
172419,470,"TUNA,ALBACORE",THUNNUS ALALUNGA
172423,471,"TUNA,YELLOWFIN",THUNNUS ALBACARES
172451,472,WAHOO,ACANTHOCYBIUM SOLANDRI
160234,474,"SHARK, SMOOTHHOUND, FLORIDA",MUSTELUS NORRISI
160611,475,"SHARK,GREENLAND",SOMNIOSUS MICROCEPHALUS
160502,476,"SHARK,BONNETHEAD",SPHYRNA TIBURO
160787,477,"SHARK,ATLANTIC ANGEL",SQUATINA DUMERIL
160508,478,"SHARK,SCALLOPED HAMMERHEAD",SPHYRNA LEWINI
160505,479,"SHARK,SMOOTH HAMMERHEAD",SPHYRNA ZYGAENA
159903,480,"SHARK,WHITE",CARCHARODON CARCHARIAS
159911,481,"SHARK,PORBEAGLE",LAMNA NASUS
160289,482,"SHARK,SANDBAR",CARCHARHINUS PLUMBEUS
160307,483,"SHARK,BIGNOSE",CARCHARHINUS ALTIMUS
160268,484,"SHARK,DUSKY",CARCHARHINUS OBSCURUS
160310,485,"SHARK,SILKY",CARCHARHINUS FALCIFORMIS
160413,486,"SHARK,NIGHT",CARCHARHINUS SIGNATUS
160318,487,"SHARK,BLACKTIP",CARCHARHINUS LIMBATUS
160401,488,"SHARK,SPINNER",CARCHARHINUS BREVIPINNA
160275,489,"SHARK,BULL",CARCHARHINUS LEUCAS
160330,490,"SHARK,OCEANIC WHITETIP",CARCHARHINUS LONGIMANUS
160189,491,"SHARK,TIGER",GALEOCERDO CUVIER
160433,492,"SHARK,LEMON",NEGAPRION BREVIROSTRIS
160424,493,"SHARK,BLUE",PRIONACE GLAUCA
160200,494,"SHARK,ATLANTIC SHARPNOSE",RHIZOPRIONODON TERRAENOVAE
160497,495,"SHARK,HAMMERHEAD",SPHYRNIDAE
159907,496,"SHARK,BASKING",CETORHINUS MAXIMUS
160267,497,"SHARK,CARCHARHIN,NK",CARCHARHINUS
159851,498,"SHARK,PELAGIC,NK",LAMINIFORMES
160409,499,"SHARK,FINETOOTH",CARCHARHINUS ISODON
159786,501,"SHARK,SMALL COASTAL SPECIES",CHONDIRCHTHYES
160178,502,"SHARK,RIDGEBACK LG",CARCHARHINIDAE
160304,503,"SHARK,BLACKNOSE",CARCHARHINUS ACRONOTUS
160206,504,"SHARK,CARIBBEAN SHARPNOSE",Rhizoprionodon porosus
167678,506,"PERCH,WHITE",MORONE AMERICANA
164790,507,BLACK WHITING/SILVER HAKE MIX,MERLUCCIUS
164793,508,"HAKE,OFFSHORE UNC (WHITING,BLACK)",MERLUCCIUS ALBIDUS
164791,509,"HAKE,SILVER (WHITING)",MERLUCCIUS BILINEARIS
171342,510,"WOLFFISH,SPOTTED",ANARHICHAS MINOR
171341,512,"WOLFFISH,ATLANTIC",ANARHICHAS LUPUS
167914,513,WRECKFISH,POLYPRION AMERICANUS
171645,514,"GUNNEL,ROCK",PHOLIS GUNNELLUS
168469,517,"PERCH,YELLOW",PERCA FLAVESCENS
166387,522,"STICKLEBACK,NINESPINE",Pungitius pungitius
161030,526,"FISH,OTHER",OSTEICHTHYES
331030,527,"VERTEBRATES, UNCLASSIFED",VERTEBRATA
161030,529,"FISH,OTHER-INDUSTRIAL",OSTEICHTHYES
181220,590,GRAYSBY,CEPHALOPHOLIS CRUENTATA
167704,591,"GROUPER,WARSAW",EPINEPHELUS NIGRITUS
167740,592,"GROUPER,CONEY",CEPHALOPHOLIS FULVA
167759,593,"GROUPER,GAG (BLACK)",MYCTEROPERCA MICROLEPIS 
162575,655,LATERNFISHES,MYCTOPHIDAE
164737,661,"HAKE,SOUTHERN",UROPHYCIS FLORIDANA
164731,662,"HAKE,SPOTTED",UROPHYCIS REGIA
550561,668,"WOLFFISH,NORTHERN",ANARHICHAS DENTICULATUS
553173,686,"ANCHOVIES,NK",ENGRAULIDAE
098696,700,"CRABS,BLUE",CALLINECTES SAPIDUS
098714,701,"CRAB,LADY",OVALIPES OCELLATUS
097775,702,"CRAB,HERMIT",PAGURUS
098734,708,"CRAB,GREEN",CARCINUS MAENAS
620992,710,"CRAB,RED DEEPSEA",CHACEON QUINQUEDENS
098678,711,"CRAB,JONAH",CANCER BOREALIS
098679,712,"CRAB,ATLANTIC,ROCK",CANCER IRRORATUS
098276,713,"CRAB,UNC",BRACHYURA
098671,714,"CRAB,CANCER SPP. UNC",CANCER
098417,715,"CRAB,SPIDER",MAJIDAE
099034,716,"CRAB,JAPANESE SHORE",HEMIGRAPSUS
098428,718,"CRAB,SNOW (TANNER)",CHIONOECETES OPILIO
082703,724,"CRAB,HORSESHOE",LIMULUS POLYPHEMUS
097314,727,"LOBSTER,AMERICAN",HOMARUS AMERICANUS
097648,728,"LOBSTER,SPINY",PANULIRUS ARGUS
096027,730,"SHRIMP,ROCK",SICYONIA
551570,731,"SHRIMP,NORTHERN BROWN",FARFANTEPENAEUS AZTECUS
095966,733,"SHRIMP,ROYAL RED",PLEOTICUS ROBUSTUS
096074,734,"SHRIMP,SCARLET",ARISTAEOPSIS EDWARDSIANA
096106,735,"SHRIMP,UNC (CARIDEA)",CARIDEA
096967,736,"SHRIMP,PANDALID",PANDALUS BOREALIS
099140,737,MANTIS SHRIMPS,STOMATOPODA
095602,738,"SHRIMP,ATLANTIC & GULF,BROWN",PANAEIDAE
097106,739,"SHRIMP,CRANGON",CRANGONIDAE
079342,743,"CLAM,BLOOD ARC",ANADARA OVALIS
081496,748,"CLAM,NORTHERN QUAHOG",MERCENARIA MERCENARIA
081343,754,"CLAM,OCEAN QUAHOG",ARCTICA ISLANDICA
081022,760,"CLAM,RAZOR,ATLANTIC",ENSIS DIRECTUS
081272,761,"CLAM,STOUT TAGELUS (BAMBOO)",TAGELUS PLEBEIUS
081692,763,"CLAM,SOFT",MYA ARENARIA
079118,764,"CLAM,UNC",BIVALVIA
080983,765,"CLAM,ARCTIC SURF (STIMPSON)",MACTROMERIS POLYNYMA
081763,766,"CLAM,NORTHERN PROPELLER",CYRTODARIA SILIQUA
080944,769,"CLAM,SURF",SPISULA SOLIDISSIMA
073726,774,"WHELK,TRUE,UNC",BUCCINIDAE
072554,775,SNAILS(CONCHS),STROMBIDAE
074096,776,"WHELK,CHANNELED",BUSYCOTYPUS CANALICULATUS
074071,777,"WHELK,KNOBBED",BUSYCON CARICA
074075,778,"WHELK,LIGHTNING",BUSYCON SINISTRUM
073795,779,"WHELK,WAVED ",BUCCINUM UNDATUM
072878,780,SNAILS(MOON),"NATICIDAE"
079454,781,"MUSSEL,BLUE",MYTILUS EDULIS
082590,786,OCTOPUS,OCTOPODIDAE
079872,789,"OYSTER,EASTERN",CRASSOSTREA VIRGINICA
079885,792,"OYSTER,EUROPEAN FLAT",OSTREA EDULIS
079619,795,"SCALLOP,ICELANDIC SEA",CHLAMYS ISLANDICA
079611,796,"SCALLOP,UNC",PECTINIDAE
079734,797,"SCALLOP,CALICO",ARGOPECTEN GIBBUS
070394,798,"PERIWINKLES,ATLANTIC (COCKLES)",LITTORINIDAE
079737,799,"SCALLOP,BAY",ARGOPECTEN IRRADIANS
079718,800,"SCALLOP,SEA",PLACOPECTEN MAGELLANICUS
082372,801,"SQUID,LONG FINNED (LOLIGO)",LOLIGO PEALEII
082521,802,"SQUID,SHORT FINNED (ILLEX)",ILLEX ILLECEBROSUS
082369,803,"SQUIDS,LOLIGINIDAE",LOLIGINIDAE
069458,804,"MOLLUSKS,UNC",MOLLUSCA
157968,805,SEA URCHINS,STRONGYLOCENTROTUS
158140,806,SEA CUCUMBER,HOLOTHUROIDEA
173780,808,TERRAPIN,MALACLEMYS TERRAPIN
173833,809,"TURTLE,GREEN(SEA)",CHELONIA MYDAS
551770,810,"TURTLE,KEMPS RIDLEY",LEPIDOCHELYS KEMPI
173803,811,"TURTLES,SLIDERS",PSEUDEMYS
173843,812,"TURTLE,LEATHERBACK",DERMOCHELYS CORIACEA
173830,813,"TURTLE,LOGGERHEAD (SEA)",CARETTA CARETTA
173836,814,"TURTLE,HAWKBILL",ERETMOCHELYS IMBRICATA
173752,815,"TURTLES,SNAPPING",CHELYDRA SERPENTINA
173749,816,"TURTLES,UNC",TESTUDINES
010685,817,"SEAWEED,UNC",PHAEOPHYTA
173840,818,"TURTLE,OLIVE RIDLEY",LEPIDOCHELYS OLIVACEA
011335,819,BLADDER WRACK,FUCUS VESICLOSUS
011228,820,FINGERED KELP,LAMINARIA DIGITATA
011217,821,OARWEED KELP,LAMINARIA LONGICRURIS
011300,822,WINGED KELP,ALARIA ESCULENTA
066107,823,BLOODWORMS,GLYCERA DIBRANCHIATA
011332,824,WORMWEED,ASCOPHYLLUM NODOSUM SCORPIOIDES
065902,825,SANDWORMS,NEREIS
006562,826,SEA LETTUCE,ULVA LACTUCA
011540,827,NORI/LAVER,PORPHYRA
156862,828,STARFISH,ASTEROIDEA
012092,829,IRISH MOSS,CHONDRUS CRISPUS
012104,830,FALSE IRISH MOSS,GIGARTINA STELLATA
012842,831,DULSE,PALMARIA PALMATA
161706,1,ALEWIFE,ALOSA PSEUDOHARENGUS
168688,3,AMBERJACK,SERIOLA
168738,5,"RUNNER,RAINBOW",ELAGATIS BIPINNULATA
161839,6,"ANCHOVY,BAY",ANCHOA MITCHILLI
168691,7,JACK ALMACO,SERIOLA RIVOLIANA 
168693,8,BANDED RUDDERFISH,SERIOLA ZONATA 
164499,11,GOOSEFISH,LOPHIUS AMERICANUS
164499,12,GOOSEFISH,LOPHIUS AMERICANUS
164500,13,"GOOSEFISH,BLACKFIN",LOPHIUS GASTROPHYSUS
170424,18,BARRACUDA,SPHYRAENIDAE
165551,19,"NEEDLEFISH,ATLANTIC",STRONGYLURA MARINA
165577,20,HOUNDFISH,TYLOSURUS CROCODILUS
166126,22,BEARDFISH,POLYMIXIA LOWEI
168559,23,BLUEFISH,POMATOMUS SALTATRIX
166170,24,SQUIRRELFISHES,HOLOCENTRIDAE
615855,25,BIG ROUGHY,GEPHYROBERYX DARWINI
167702,26,"GROUPER,RED",EPINEPHELUS MORIO 
172512,27,BARRELFISH,HYPEROGLYPHE PERCIFORMIS
167696,28,"HIND,ROCK",EPINEPHELUS ADSCENSIONIS
167698,29,"HIND,SPECKLED",EPINEPHELUS DRUMMONDHAYI 
171055,31,"STARGAZER,NORTHERN",ASTROSCOPUS GUTTATUS
167700,32,"HIND,RED",EPINEPHELUS GUTTATUS 
172409,33,"BONITO,ATLANTIC",SARDA SARDA
163996,45,BULLHEADS,ICTALURUS
172567,51,BUTTERFISH,PEPRILUS TRIACANTHUS
172568,52,"BUTTERFISH,GULF",PEPRILUS BURTI
168566,57,COBIA,RACHYCENTRON CANADUM
163344,63,CARP,CYPRINUS CARPIO
164029,64,"CATFISH,FLATHEAD",PYLODICTIS OLIVARIS
164037,65,"CATFISH,WHITE",ICTALURIDAE 
163995,66,CATFISHES (FRESHWATER),ICTALURIDAE 
163997,67,"CATFISH,BLUE",ICTALURUS FURCATUS
163998,68,"CATFISH,CHANNEL",ICTALURUS PUNCTATUS 
164157,69,CATFISHES (SEA),ARIIDAE  
168677,76,"SCAD,BIGEYE",SELAR CRUMENOPHTHALMUS
168725,77,"SCAD,ROUND",DECAPTERUS PUNCTAUS
164712,81,"COD,ATLANTIC",GADUS MORHUA
164712,82,"COD,ATLANTIC",GADUS MORHUA
168165,84,CRAPPIE,POMOXIS
168609,87,CREVALLE,CARANX HIPPOS
169283,90,"CROAKER,ATLANTIC",MICROPOGONIAS UNDULATUS
170481,93,CUNNER,TAUTOGOLABRUS ADSPERSUS
164740,96,CUSK,BROSME BROSME
166339,98,RIBBONFISHES,TRACHIPTERIDAE
166342,98,DEALFISH (RIBBONFISH),TRACHIPTERUS ARCTICUS
172385,99,"CUTLASSFISH,ATLANTIC",TRICHIURUS LEPTURUS 
168790,105,DOLPHINFISH,CORYPHAENA
168791,105,DOLPHINFISH,CORYPHAENA HIPPURUS
169288,106,"DRUM,BLACK",POGONIAS CROMIS
169290,107,"DRUM,RED",SCIAENOPS OCELLATUS
169269,109,"DRUM,BRANDED",LARIMUS FASCIATUS
161703,112,"HERRING,BLUEBACK",ALOSA AESTIVALIS
164818,114,BEARDED BROTULA,BROTULA BARBATA
161127,115,"EEL,AMERICAN",ANGUILLA ROSTRATA
161326,116,"EEL,CONGER",CONGER OCEANICUS
161123,117,"EEL,NK",ANGUILLIFORMES
635305,118,"EEL,CUTTHROAT",SYNAPHOBRANCHINAE
172905,119,"FLOUNDER,WINTER",PSEUDOPLEURONECTES AMERICANUS
172905,120,"FLOUNDER,WINTER",PSEUDOPLEURONECTES AMERICANUS
172735,121,"FLOUNDER,SUMMER (FLUKE)",PARALICHTHYS DENTATUS
172873,122,"FLOUNDER,WITCH (GRAY SOLE)",GLYPTOCEPHALUS CYNOGLOSSUS
172909,123,"FLOUNDER,YELLOWTAIL",LIMANDA FERRUGINEA
172877,124,"FLOUNDER,PLAICE,AMERICAN (DAB)",HIPPOGLOSSOIDES PLATESSOIDES
172746,125,"FLOUNDER,SAND DAB (WINDOWPANE)",SCOPHTHALMUS AQUOSUS
172702,126,"FLATFISH,UNC",PLEURONECTIFORMES
172739,127,"FLOUNDER,FOURSPOT",PARALICHTHYS OBLONGUS
172982,128,HOGCHOKER,TRINECTES MACULATUS
172719,129,"FLOUNDER,GULF STREAM",CITHARICHTHYS ARCTIFRONS
172738,130,"FLOUNDERS,SOUTHERN",PARALICHTHYS LETHOSTIGMA
172455,131,"MACKEREL,BULLET",AUXIS ROCHEI
172456,132,FRIGATE MACKEREL,AUXIS THAZARD
161092,133,GARFISHES,LEPISOSTEIDAE
161737,134,"SHAD,GIZZARD",DOROSOMA CEPEDIANUM
613026,136,"GRUNT,WHITE",HAEMULON PLUMIERI
165421,137,"GRENADIER,ROUGHHEAD",MACROURUS BERGLAX
165332,138,GRENADIERS,MACROURIDAE
162427,139,GREENEYES,CHLOROPHTHALMIDAE
167674,141,GROUPERS,SERRANIDAE
167699,142,"GROUPER,YELLOW EDGE",EPINEPHELUS FLAVOLIMBATUS
169055,144,GRUNTS,HAEMULIDAE
167763,145,"GROUPER,SCAMP",MYCTEROPERCA PHENAX
167705,146,"GROUPER,SNOWY",EPINEPHELUS NIVEATUS
164744,147,HADDOCK,MELANOGRAMMUS AEGLEFINUS
169237,104,DRUM,SCIAENIDAE
